1018.4,73,63
1018.45,75,65
1018.5,77,65
1018.55,80,66
1018.6,82,67
1018.65,79,66
1018.7,76,63
1018.75,74,62
1018.8,76,64
1018.85,78,64
1018.9,76,66
1018.95,75,66
1019,74,64
1019.05,74,64
1019.1,74,66
1019.15,77,64
1019.2,81,60
1019.25,81,61
1019.3,82,59
1019.35,80,58
1019.4,81,57
1019.45,82,56
1019.5,81,59
1019.55,80,58
1019.6,81,56
1019.65,83,55
1019.7,86,53
1019.75,85,53
1019.8,86,55
1019.85,86,56
1019.9,85,54
1019.95,82,52
1020,85,51
1020.05,93,50
1020.1,93,48
1020.15,94,48
1020.2,93,49
1020.25,94,50
1020.3,94,49
1020.35,96,40
1020.4,96,40
1020.45,98,45
1020.5,98,45
1020.55,100,43
1020.6,98,41
1020.65,98,44
1020.7,95,35
1020.75,99,35
1020.8,101,41
1020.85,100,38
1020.9,100,35
1020.95,101,39
1021,103,43
1021.05,98,34
1021.1,96,24
1021.15,96,33
1021.2,97,41
1021.25,100,30
1021.3,101,31
1021.35,98,37
1021.4,95,32
1021.45,99,29
1021.5,101,29
1021.55,102,22
1021.6,101,26
1021.65,102,35
1021.7,105,21
1021.75,103,25
1021.8,100,33
1021.85,100,24
1021.9,102,24
1021.95,99,35
1022,100,24
1022.05,101,20
1022.1,99,31
1022.15,100,31
1022.2,101,17
1022.25,100,28
1022.3,99,34
1022.35,100,25
1022.4,99,24
1022.45,96,35
1022.5,97,21
1022.55,99,26
1022.6,97,33
1022.65,100,23
1022.7,100,26
1022.75,99,34
1022.8,97,21
1022.85,99,25
1022.9,100,36
1022.95,101,23
1023,104,22
1023.05,102,34
1023.1,102,23
1023.15,104,21
1023.2,99,36
1023.25,102,26
1023.3,103,21
1023.35,100,31
1023.4,100,32
1023.45,101,20
1023.5,97,24
1023.55,99,34
1023.6,101,23
1023.65,99,27
1023.7,100,36
1023.75,102,22
1023.8,101,22
1023.85,95,33
1023.9,95,21
1023.95,99,31
1024,99,45
1024.05,102,46
1024.1,103,35
1024.15,100,32
1024.2,95,44
1024.25,96,38
1024.3,101,31
